Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 9 CEILANDIA;0011053;EQNP 28/32 LOTES A, B, C, D;72235571;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
UBS 6 ALMECEGAS BRAZLANDIA;0011495;FAZENDA ALMECEGAS BR DF 180 DF 205 KM 05;72799899;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;SIM;BRAZLANDIA
UBS 5 CHAPADINHA BRAZLANDIA;3144631;RESERVA A, GLEBA 02, CHAPADINHA;72710990;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;BRAZLANDIA
UBS 05 TAGUATINGA;0010626;SETOR D SUL AE 23;72155000;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;TAGUATINGA
UBS 3 VEREDAS I BRAZLANDIA;3144658;QUADRA 3 LOTE 6 AREA ESPECIAL N� 2 SETOR VEREDAS I;72738990;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;SIM;BRAZLANDIA
UBS 3 PLANALTINA;0011096;SETOR HOSPITALAR AREA ESPECIAL S/N;73310902;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PLANALTINA
UBS 4 VEREDAS II BRAZLANDIA;3742865;AREA ESPECIAL 1, SETOR VEREDAS II;72725100;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;SIM;BRAZLANDIA
UBS 05 SAMAMBAIA;6921736;QN 523 AREA ESPECIAL;72317520;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SAMAMBAIA
UBS 01 GUARA;0011118;QE 06 LOTE C - AREA ESPECIAL;71010006;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GUARA
UBS 01 NUCLEO BANDEIRANTE;0011126;3� AVENIDA AREA ESPECIAL N� 3;71720585;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;NUCLEO BANDEIRANTE
UBS 5 NOVA BETANIA - SAO SEBASTIAO;0011363;DF 140 KM 7,5;71693990;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;JARDIM BOTANICO
UBS 6 VALE DAS ACACIAS SOBRADINHO II;7041594;CONDOMINIO VALE DAS ACACIAS QUADRA 12 LOTE;73070056;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;SOBRADINHO II
UBS 14 TABATINGA PLANALTINA;0011584;DF 120 NUCLEO RURAL TABATINGA, S/N;73307997;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 1 BRAZLANDIA;0011215;ENTRE QUADRA 6/8, AREA ESPECIAL 3, SETOR NORTE;72710065;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;NÃO;SIM;BRAZLANDIA
UBS 1 ASA SUL;0011150;SGAS QUADRA 612, LOTES;70200720;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;PLANO PILOTO
