Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 16 PDF I SAO SEBASTIAO;7566530;ROD DF 465 KM;71698903;De Segunda a Sexta das 08:00 às 17:00;NÃO;NÃO;SIM;JARDIM BOTANICO
UBS 20 PLANALTINA;9768637;AREA ESPECIAL 9-A, SETOR NORTE;73310690;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;PLANALTINA
UBS 1 LAGO SUL;4431618;SHIS QI 21;71655600;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;NÃO;LAGO SUL
UBS 19 PLANALTINA;9566988;SETOR RESIDENCIAL OESTE, VILA NOSSA SRA. DE FATIMA;73340710;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PLANALTINA
UBS 10 RECANTO DAS EMAS;3144623;QD 511/311 LOTE 01 AVENIDA MONJOLO;72622400;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;NÃO;RECANTO DAS EMAS
UBS 01 AGUAS CLARAS;7108923;QS 05 LOTE 24, AV. AREAL;72130077;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;TAGUATINGA
UBS 10 SAMAMBAIA;3633845;QR 501 CONJUNTO 07 LOTE;72311207;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;SAMAMBAIA
UBS 04 SAMAMBAIA;0010685;QN 512 CONJUNTO 2 LOTE;72312702;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SAMAMBAIA
UBS 13 GAMA- CASA GRANDE;2779331;NUCLEO RURAL CASA GRANDE - MONJOLO;72600100;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;GAMA
UBS 01 VICENTE PIRES;9056963;RUA 4C CHACARA 12 - COLONIA AGRICOLA SAMAMBAIA;72001185;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;VICENTE PIRES
UBS 3 GAMA;0010847;EQ 3/5 AREA ESPECIAL SETOR LESTE GAMA;72450035;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 03 RECANTO DAS EMAS;7170939;QD 104/105 AREA ESPECIAL S/N LOTE 25;72600400;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;RECANTO DAS EMAS
UBS 12 SAMAMBAIA;9480587;QR 210 CONJUNTO 22 LOTE;72316223;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SAMAMBAIA
UBS 08 TAGUATINGA;2617269;EQNL 24 AREA ESPECIAL;72155000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;TAGUATINGA
UBS 3 SANTA MARIA;3144550;QR 100 CONJ I LOTE;72500413;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;SIM;SANTA MARIA
UBS 7 SANTA MARIA;3144569;AV. BRIGADEIRO PINTO DE MOURA;72593302;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;SANTA MARIA
UBS 06 TAGUATINGA;0010952;SETOR C SUL AE 01- TAGUATINGA SUL;72155000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;TAGUATINGA
UBS 4 GAMA;0010855;PRACA 3 AREA ESPECIAL N�;72460120;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 04 RECANTO DAS EMAS;7417632;QUADRA 308 AREA ESPECIAL;72620400;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;RECANTO DAS EMAS
UBS 11 PONTE ALTA NORTE GAMA;3144577;DF 475 KM 5 NUCLEO RURAL;72457993;De Segunda a Sexta das 07:00 às 18:00;NÃO;SIM;NÃO;GAMA
UBS 9 ENGENHO DAS LAGES GAMA;2779404;RUA LIBANIO;72426010;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;SIM;GAMA
UBS 5 GAMA;0010863;QUADRA 38 AREA ESPECIAL LESTE SC;72405380;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 12 PONTE ALTA GAMA;3144615;ANTIGO POSTO DA RECEITA FEDERAL DF;72457994;De Segunda a Sexta das 07:00 às 18:00;NÃO;SIM;NÃO;GAMA
UBS 07 TAGUATINGA;0010960;QNM 36 AREA ESPECIAL N�;72155000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;TAGUATINGA
UBS 6 GAMA;0010871;ENTRE QUADRA;72465390;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 02 RECANTO DAS EMAS;0011134;QUADRA 102 AREA ESPECIAL;72600200;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;RECANTO DAS EMAS
UBS 8 SANTA MARIA;7559194;EQ 417/517 MODULO E;72547325;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;SIM;SANTA MARIA
UBS 06 SAMAMBAIA;7053754;QS 122 CONJUNTO 06 LOTE;72304526;De Segunda a Sexta das 07:00 às 18:00;NÃO;SIM;SIM;SAMAMBAIA
UBS 2 GAMA;0010839;QUADRA;72410110;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 7 GAMA;0010898;AREA ESPECIAL N� 17;72405170;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 01 SAMAMBAIA;0010642;QS 408 AREA ESPECIAL 01;72318599;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SAMAMBAIA
UBS 01 RECANTO DAS EMAS;0010804;QUADRA 307 - AREA ESPECIAL 01;72620400;De Segunda a Sexta das 07:00 às 17:00;NÃO;SIM;NÃO;RECANTO DAS EMAS
UBS 11 RECANTO DAS EMAS;9543945;QUADRA 01 LOTE 23 SALOMAO ELIAS;72650030;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;AGUA QUENTE
UBS 02 SAMAMBAIA;0010774;QS 611 AREA ESPECIAL;72331565;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SAMAMBAIA
UBS 02 TAGUATINGA;0010928;QND LOTE A PRACA DO BICALHO;72155000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;TAGUATINGA
UBS 08 RECANTO DAS EMAS - SAO FRANCISCO;2804247;DF 280 KM 03 QD 04 SETOR HABITACIONAL AGUA QUENTE;72600100;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;NÃO;AGUA QUENTE
UBS 1 GAMA;0010820;EQ 6/12 (AREAS ESPECIAIS);72415318;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GAMA
UBS 13 SAMAMBAIA;9647597;QS 615 AREA ESPECIAL;72322583;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;SAMAMBAIA
UBS 02 AGUAS CLARAS;3742822;QS 08 CONJUNTO 410 A LOTE 15;72155000;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;NÃO;ARNIQUEIRA
UBS 2 SANTA MARIA;0010669;EQ 217/317 LOTE E;72547305;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SANTA MARIA
UBS 03 TAGUATINGA;0010936;QNL 01 AE 02;72155000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;TAGUATINGA
UBS 03 SAMAMBAIA;0010677;QN 429 CONJUNTO F LOTE;72329500;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;SAMAMBAIA
UBS 10 GAMA - ZONA RURAL PONTE ALTA;4979656;DF 180 KM;72457994;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;NÃO;GAMA
UBS 4 DE SANTA MARIA;4979699;QR 207/307 CONJUNTO T;72507520;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;SIM;SANTA MARIA
UBS 19 VISTA BELA;4986768;VISTA BELA NR ALEXANDRE GUSMAO;72701997;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;CEILANDIA
UBS 11 SANTA MARIA;8192650;EQ 216/316 - AREA ESPECIAL;72546304;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;NÃO;SANTA MARIA
CERPIS;6736602;AV. WL/04 SETOR HOSPITALAR OESTE;73310000;De Segunda a Sexta das 07:00 às 18:00;NÃO;SIM;NÃO;PLANALTINA
UBS 20 SAO SEBASTIAO - CDP;0207225;RODOVIA 465 KM;71698906;De Segunda a Sexta das 08:00 às 17:00;NÃO;SIM;SIM;SAO SEBASTIAO
